i, flow, time, paths
  1,             1.419999,             0.000003,             0.999999
  2,             3.849997,             0.000003,             1.999999
  3,             8.240001,             0.000004,             4.619998
  4,            25.630003,             0.000008,            11.020000
  5,            64.659988,             0.000024,            24.660000
  6,           167.049957,             0.000082,            47.649994
  7,           408.029999,             0.000297,            95.620010
  8,           892.939941,             0.001029,           151.039978
  9,          2111.060303,             0.003870,           283.490051
 10,          4652.979004,             0.011444,           433.010071
 11,         10544.081055,             0.043633,           767.209961
 12,         21371.058594,             0.129906,          1056.140137
 13,         48753.800781,             0.514816,          1859.229980
 14,        105995.046875,             1.700102,          2740.339844
 15,        217775.359375,             6.122448,          4272.020020
 16,        481367.218750,            21.787167,          6367.430176
